Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
tirica,Plain parakeet,63,,,,11
versicolurus,Canary-winged parakeet,71.6,730,25,5,10.3
alba,White cockatoo,570,2000,30,2,26.9
ducorpsii,Ducorps's cockatoo,394,,,,30.5
galerita,Sulphur-crested cockatoo,800,,27,2,57
goffiniana,Tanimbar cockatoo,275,,,,26
haematuropygia,Philippine cockatoo,288,,,,17.3
leadbeateri,Pink cockatoo,390,,,,83
moluccensis,Salmon-crested cockatoo,830,,,,65.8
ophthalmica,Blue-eyed cockatoo,492,,,,31.9
pastinator,Western corella,637,,,,26.3
sanguinea,Little corella,350,,,,46.9
sulphurea,Yellow-crested cockatoo,340,,,,49.7
tenuirostris,Long-billed corella,567,,,,43
fimbriatum,Gang-gang cockatoo,256,,,,27.5
banksii,Banksian cockatoo,723.7,,,,45.4
baudinii,Long-billed black cockatoo,620,,,,47
funereus,Yellow-tailed black cockatoo,678.5,,,,41
atra,Black lory,260,,,,17.5
sintillata,Yellow-streaked lory,190,,,,19.7
papou,Papuan lorikeet,83,,,,11.3
carolinensis,Carolina parakeet,100,,22,2.5,30
nigra,Black parrot,193.5,,,,34.1
vasa,Vasa parrot,525,,,,53.9
patagonus,Patagonian conure,278,,,,19.5
spixii,Spix's macaw,200,,,,27
auriceps,Yellow-fronted parakeet,46,,,,9.3
novaezelandiae,Red-fronted parakeet,92.6,,,,12.4
accipitrinus,Red-fan parrot,246,,,,21.8
nobilis,Red-shouldered macaw,151,,,,22.9
roratus,Eclectus parrot,440,,,,28.5
leptorhynchus,Slender-billed parakeet,193,,,,15.3
roseicapilla,Galah,300,,,,40
bornea,Red lory,156,,,,24.7
cyanogenia,Black-winged lory,167,,,,18.1
histrio,Red-and-blue lory,,,,,15.2
reticulata,Blue-streaked lory,,,,,16.6
squamata,Violet-necked lory,,,,,16.5
cornutus,Horned parakeet,130,,,,19.7
coelestis,Pacific parrotlet,26.2,,,,10.4
cyanopygius,Mexican parrotlet,33.5,,,,10.5
passerinus,Green-rumped parrotlet,24,,,,11.6
xanthops,Yellow-faced parrotlet,,,,,10.5
concinna,Musk lorikeet,70.8,,,,11.5
porphyrocephala,Purple-crowned lorikeet,44,,,,12
brachyurus,Short-tailed parrot,159,,,,13.2
guarouba,Golden conure,250,,,,23.2
galgulus,Blue-crowned hanging parrot,28,,,,14.3
philippensis,Colasisi,34.9,,,,10.1
vernalis,Vernal hanging parrot,35.7,,,,10.1
domicella,Purple-naped lory,182,,,,26
garrulus,Chattering lory,143,,,,26.6
lory,Black-capped lory,177,,,,18.5
undulatus,Budgerigar,30,180,18,5,21
monachus,Monk parakeet,81.7,730,31,7,22.1
nenday,Nanday parakeet,128,,,,18.7
chrysostoma,Blue-winged parrot,46.1,,,,21
pulchella,Turquoise parrot,41.4,,,,21
splendida,Scarlet-chested parrot,38.6,,,,14
bourkii,Bourke's parrot,45,,,,12.6
notabilis,Kea,867.5,,,,47
haematogaster,Bluebonnet,86.2,,,,15.3
hollandicus,Cockatiel,90,,,,35
leucogaster,White-bellied parrot,155,,,,26
melanocephalus,Black-headed parrot,149,,,,22.6
pileata,Pileated parrot,119,,,,16.8
maximiliani,Scaly-headed parrot,293,,,,16.2
menstruus,Blue-headed parrot,251,,,,20.6
elegans,Crimson rosella,124.5,,,,26.8
eximius,Eastern rosella,104,,,,27.4
icterotis,Western rosella,63.3,,,,13.2
venustus,Northern rosella,89.5,,,,19.1
cryptoxanthus,Brown-headed parrot,140,,,,32.1
gulielmi,Red-fronted parrot,275,,,,21
meyeri,Brown parrot,117.5,,,,34.2
robustus,Brown-necked parrot,344,,,,29.7
rueppellii,Ruppel's parrot,116,,,,34.3
rufiventris,Red-bellied parrot,120,,,,33.4
senegalus,Senegal parrot,155,,,,40
alexandrae,Alexandra's parrot,104,,,,23.9
anthopeplus,Regent parrot,170,,,,13.8
swainsonii,Superb parrot,153,,,,15.1
maracana,Blue-winged macaw,256,,,,31
aterrimus,Palm cockatoo,841,,,,56.3
personata,Masked shining parrot,,,,,11.8
splendens,Crimson shining parrot,,,,,20.1
dissimilis,Hooded parrot,55,,,,18
haematonotus,Red-rumped parrot,61.4,,,,12.2
varius,Mulga parrot,61.5,,,,11.8
fuscata,Dusky lory,149,,,,13.4
aymara,Grey-hooded parakeet,30,,,,8.5
alexandri,Red-breasted parakeet,147,,,,23.3
calthropae,Layard's parakeet,,,,,14
cyanocephala,Plum-headed parakeet,66,,,,18.8
eupatria,Alexandrine parakeet,255,,,,30
krameri,Rose-ringed parakeet,128,,,,34
desmarestii,Large fig parrot,117,,,,14.9
edwardsii,Edward's fig parrot,,,,,12
salvadorii,Salvadori's fig parrot,118,,,,12
erithacus,Grey parrot,333,,,,49.7
iris,Iris lorikeet,,,,,24.1
cyanurus,Blue-rumped parrot,,,,,10.2
fulgidus,Pesquet's parrot,865,,,,25
spurius,Red-capped parrot,116,,,,15.3
leucotis,White-eared conure,,,,,18.5
perlata,Crimson-bellied parakeet,87,,,,14.3
pachyrhyncha,Thick-billed parrot,360,730,26,3,33
habroptila,Kakapo,1750,1825,30,2.5,60
megalorynchos,Great-billed parrot,325,,,,23
sumatranus,Blue-backed parrot,270.5,,,,14.4
euteles,Olive-headed lorikeet,73.7,,,,16
haematodus,Rainbow lorikeet,115.1,,,,16.1
johnstoniae,Mindanao lorikeet,55.2,,,,17.8
ornatus,Ornate lorikeet,,,,,19.4
malachitacea,Blue-bellied parrot,90,,,,11.9
australis,Blue-crowned lorikeet,,,,,13.6
peruviana,Blue lorikeet,29,,,,18.4
patagonicus,King penguin,13036.8,,,,26
minor,Little penguin,1105,,39,,25.6
demersus,Jackass penguin,3135,,,,27.3
magellanicus,Magellanic penguin,4000,1040,40,1,30
acadicus,Northern saw-whet owl,117.9,365,27,5.5,17.5
funereus,Boreal owl,120,365,27,5,15.9
flammeus,Short-eared owl,406,365,25,6,21.8
otus,Long-eared owl,249.7,365,27,4.5,27.8
cunicularia,Burrowing owl,150,365,28,8,11
noctua,Little owl,169,365,,,11.1
bubo,Eurasian eagle-owl,2686,730,,,68
scandiacus,Snowy owl,2042.5,730,32,6,28
virginianus,Great horned owl,1191.2,730,27,3,29
passerinum,Eurasian pygmy-owl,65.5,365,,,6
asio,Eastern screech-owl,164.1,365,29,4,20.7
kennicottii,Western screech-owl,205,365,30,4,19
whitneyi,Elf owl,41,,24,2,14
flammeolus,Flammulated owl,55.5,365,22,3,8.1
scops,Common or Eurasian scops-owl,92,365,,,6.8
perspicillata,Spectacled owl,770,,36,2,25
aluco,Tawny owl,520,365,,,22.4
nebulosa,Great grey owl,1120,365,30,2,15.9
occidentalis,Spotted owl,588.7,365,30,2,25
uralensis,Ural owl,784.5,365,,,23.8
varia,Barred owl,715,730,28,2,24
ulula,Northern hawk-owl,320,,27,7,16.2
alba,Barn owl,580,365,33,6,34
camelus,Ostrich,111000,,,,50
anhinga,Anhinga,1080,730,28,4,16.4
melanogaster,Darter,1486.6,,,,16
andrewsi,Christmas Island frigatebird,1550,,,,25.6
ariel,Lesser frigatebird,806,,,,27.6
magnificens,Magnificent frigatebird,1078,1826,56,1,34
minor,Great frigatebird,1400,1826,56,1,43
aristotelis,European shag,1773,1095,,,30.6
auritus,Double-crested cormorant,1817,730,24,4,22.5
brasilianus,Neotropic cormorant,1550,365,26,3.5,12.6
carbo,Great cormorant,3628.8,1460,30,4,27.2
pelagicus,Pelagic cormorant,2041.2,730,22,4,17.8
penicillatus,Brandt's cormorant,2426,730,30,3,18
bassanus,Northern gannet,2950,1095,43,1,37.4
serrator,Australasian gannet,2350,,,,33
dactylatra,Masked booby,1739.2,1461,43,1.5,25.5
granti,Nazca booby,1754,,,,21
leucogaster,Brown booby,1134,1278,41,2,27.2
nebouxii,Blue-footed booby,1530,,41,2,18
sula,Red-footed booby,1017,730,44,1,23
solitarius,Solitary tinamou,1390.5,,,,15
wagneri,Volga lamprey,113.3,,,,4
tridentatus,Pacific lamprey,275,,,,9
danfordi,Carpathian lamprey,,,,,8
mariae,Ukrainian brook lamprey,,,,,8
castaneus,Chestnut lamprey,,,,,8
greeleyi,Mountain brook lamprey,,,,,6
unicuspis,Silver lamprey,,,,,8
aepyptera,Least brook lamprey,,,,,8
fluviatilis,European river lamprey,82.5,2250,,,10
planeri,European brook lamprey,,1916,,,7
appendix,American brook lamprey,,,,,5
camtschaticum,Arctic lamprey,,1642,,,7
kessleri,Siberian brook lamprey,,,,,7
reissneri,Far eastern brook lamprey,,,,,4
zanandreai,Po brook lamprey,,1916,,,6
marinus,Sea lamprey,1375,3193,,,9
acronotus,Blacknose shark,10395,1003,,3.9,19
amblyrhynchos,Grey reef shark,18535,,,4.1,25
brachyurus,Copper shark,167530,5840,,16.6,34.5
brevipinna,Spinner shark,49335,,,8.5,19
cautus,Nervous shark,,,,4.2,16.4
falciformis,Silky shark,190300,2646,,6.5,23
galapagensis,Galapagos shark,47025,2555,,8.7,24
isodon,Finetooth shark,,1423,,4,8
leucas,Bull shark,174075,6296,,9.8,32
limbatus,Blacktip shark,67540,,,4.6,12
longimanus,Oceanic whitetip shark,92070,,,6.1,22
obscurus,Dusky shark,190575,7391,,10,35
plumbeus,Sandbar shark,65000,5231,,7.9,32
porosus,Smalltail shark,,2190,,4.5,24
signatus,Night shark,42185,,,11.1,31.7
sorrah,Spot-tail shark,15400,,,3.1,8
tilstoni,Australian blacktip shark,28600,1277,,3,12
cuvier,Tiger shark,444070,1825,,31.5,50
brevirostris,Lemon shark,101035,,,7.4,20
glauca,Blue shark,113245,,,30,20
acutus,Milk shark,2750,,,,8
taylori,Australian sharpnose shark,,,,4.5,7
terraenovae,Atlantic sharpnose shark,3987.5,803,,4.4,10.2
laticaudus,Spadenose shark,,,,,6
obesus,Whitetip reef shark,10065,,,,25
canicula,Small-spotted catshark,726,1642,,45.5,12
stellaris,Nursehound,,,,,19
lewini,Scalloped hammerhead,83820,1387,,20.1,35
tiburo,Bonnethead shark,5940,857,,10,6.5
macki,Whiskery skark,7095,1642,,19,11.5
galeus,Tope shark,24585,,,24.9,55
japanica,Japanese topeshark,,,,,15
antarcticus,Gummy shark,16940,1715,,16,16
californicus,Gray smoothhound,,584,,9.5,9
canis,Dusky smooth-hound,6710,748,,9.5,16
griseus,Spotless smooth-hound,,2190,,,9
henlei,Brown smoothhound,,1131,,4.5,13
lenticulatus,Spotted estuary smooth-hound,,1435,,10.7,19.5
manazo,Starspotted smooth-hound,3146,772,,7.5,10
mustelus,Smooth-hound,,2737,,11.5,24
semifasciata,Leopard shark,10110,2555,,15,30
capensis,Cape elephantfish,2887.5,1204,,22,12
milii,Elephant fish,,1095,,13,6
monstrosa,Rabbitfish,1375,,,22,29.4
francisci,Horn shark,,,,,12
galeatus,Crested bullhead shark,,,,,12
cepedianus,Bluntnose sevengill shark,58850,5840,,88.5,49
pelagicus,Pelagic thresher shark,,2737,,2,29
superciliosus,Bigeye thresher,200090,3650,,2,21
maximus,Basking shark,2200000,2920,,,32
carcharias,Great white shark,1870000,3285,,6,50
oxyrinchus,Shortfin mako,278190,,,12.5,25
ditropis,Salmon shark,96250,,,4.5,20
nasus,Porbeagle,126500,,,4,30
taurus,Sand tiger shark,87340,1642,,2,12
americana,Southern stingray,74580,,,4.2,18
chrysonota,Blue stingray,,,,6.2,10
dipterura,Diamond stingray,,,,2,28
pastinaca,Common stingray,,,,6.2,21
violacea,Pelagic stingray,,,,4.5,24
birostris,Giant manta,1650000,,,,20
flagellum,Longheaded eagle ray,7645,,,3.5,16
californica,Bat ray,45155,1095,,3.8,24
bonasus,Cownose ray,,,,1.1,15.5
mucosa,Western shovelnose stingaree,,,,1.1,16
personata,Masked stingaree,,,,1.2,14
lobatus,Lobed stingaree,,,,1.3,14
paucimaculatus,Sparsely-spotted stingaree,,,,2.5,12
cirratum,Nurse shark,60280,,,,25
plagiosum,Whitespotted bambooshark,,,,,25
typus,Whale shark,18700000,6935,,300,54
perotteti,Largetooth sawfish,325050,,,7.3,30
albomaculata,White-dotted skate,,,,57,17
parmifera,Alaska skate,10010,2920,,,17
trachura,Roughtail skate,,,,,17
radiata,Thorny skate,2337.5,1460,,31,16
batis,Common skate,53405,4015,,40,50
chilensis,Beaked skate,,,,48.2,22.5
innominatus,New Zealand smooth skate,,2920,,38,24
nasutus,New Zealand rough skate,,1460,,32,9
pullopunctatus,Slime skate,,,,50,18
trachyderma,Roughskin skate,,,,40,26
erinacea,Little skate,,1551,,30,8
naevus,Sandy ray,,3102,,90,14
ocellata,Winter skate,,,,35,21
senta,Smooth skate,,,,,14
asterias,Starry skate,,,,73,6.3
binoculata,Big skate,50050,,,1260,26
brachyura,Blonde ray,7865,,,90,8
clavata,Thornback ray,9900,3650,,142,12
microocellata,Painted ray,2475,,,57.5,9
miraletus,Brown ray,,,,61,8.2
rhina,Longnose skate,,,,82,26
texana,Roundel skate,,,,,9
undulata,Undulate ray,,,,,13
horkelii,Brazilian guitarfish,,,,6,28
productus,Shovelnose guitarfish,5362.5,2920,,9,16
acus,Needle dogfish,,,,5,20
granulosus,Gulper shark,,,,1,25
squamosus,Leafscale gulper shark,,,,8.1,70
calcea,Birdbeak dogfish,,,,13,35
licha,Kitefin shark,,,,12,18.4
baxteri,Giant lanternshark,,,,11,57
spinax,Velvet belly,467.5,,,6.8,7
crepidater,Longnose velvet dogfish,,,,6,57
microcephalus,Greenland shark,,,,,392
acanthias,Spur dogfish,5005,3163,,8,75
blainville,Longnose spurdog,,,,4,15
megalops,Shortnose spurdog,,,,3,75
mitsukurii,Shortspine dogfish,,,,3.6,27
argentina,Argentine angelfish,,,,5.5,12
californica,Pacific angel shark,,,,6,35
occulta,Hidden angel shark,,,,6.5,21
californica,Pacific electric ray,,,,17,16
marmorata,Marbled electric ray,1650,,,11,20
torpedo,Eyed electric ray,,,,3.4,10
brevirostrum,Shortnose sturgeon,9325,,13,120000,67
dabryanus,Yangtze sturgeon,,,,,100
fulvescens,Lake sturgeon,70000,2920,6,350000,152
gueldenstaedtii,Russian sturgeon,63250,4380,,,46
oxyrinchus,Atlantic sturgeon,202400,,,,60
ruthenus,Sterlet,8800,1460,,,46.1
schrenckii,Amur sturgeon,104500,3285,,,60
stellatus,Star sturgeon,44000,2190,,,27
sturio,European sturgeon,220000,3467,,,100
transmontanus,White sturgeon,448800,6022,,,104
dauricus,Kaluga,550000,6387,,,55
huso,Beluga sturgeon,1139600,4745,,,118
hermanni,Little shovelnose sturgeon,27.775,,,,6
spathula,Mississippi paddlefish,49885,2190,,,55
senegalus,Gray bichir,,,,,34
chalumnae,Coelacanth,52250,,,,48
forsteri,Australian lungfish,,,,,80
paradoxa,South American lungfish,,,,,8.3
annectens,African lungfish,,,,,18
calva,Bowfin,5362.5,1460,,,30
oculatus,Spotted gar,2442,,,,18
osseus,Longnose gar,12540,1277,,,36
platostomus,Shortnose gar,1430,,,,20
telfairi,Lesser hedgehog tenrec,180,365,55,6,19
semispinosus,Streaked tenrec,180,,59,4,2.7
dobsoni,Dobson's shrew tenrec,37.8,669,61,2.67,5.6
talazaci,Talazac's shrew tenrec,50,639,61,2,5.8
setosus,Greater hedgehog tenrec,225,258,54,3,14.1
ecaudatus,Tenrec,900,,58,18,8.7
americana,Pronghorn,46100,547,235,2,15.5
nasomaculatus,Addax,92500,,282,1,28
melampus,Impala,52500,395,198,1,25.6
buselaphus,Hartebeest,159000,,247,1,22.5
lervia,Aoudad,92500,,149,1.2,21.7
marsupialis,Springbok,39000,400,168,1,19.8
cervicapra,Blackbuck,37500,,168,1,23.9
bison,American bison,630000,912,274,1,33.5
bonasus,European bison,610000,730,270,1,26.4
frontalis,Gaur,825000,550,275,1,26.2
grunniens,Yak,667000,738,274,1,26.3
javanicus,Banteng,700000,,295,1,27.1
taurus,Domestic cattle,750000,,277,1,20
tragocamelus,Nilgai,180000,,255,1.5,21.7
bubalis,Water buffalo,725000,,311,1.375,34.9
depressicornis,Anoa,155000,730,300,1,36.1
quarlesi,Mountain anoa,150000,,295,1,29.2
taxicolor,Takin,180000,730,210,1,21.9
caucasica,West Caucasian tur,70000,,157,1,19.3
cylindricornis,East Caucasian tur,50000,914,161,1.2,20.2
falconeri,Markhor,41000,,163,2,19.1
hircus,Domestic goat,61000,685,155,1.5,20.8
ibex,Ibex,82500,1256,169,1.1,20.9
nubiana,Nubian ibex,46250,,150,1,22.4
sibirica,Siberian ibex,130000,,175,,22.3
crispus,Japanese serow,80000,1095,215,1,24
sumatraensis,Serow,95000,1004,213,1,18.5
dorsalis,Bay duiker,11600,,236,1,17.5
jentinki,Jentink's duiker,70000.3,,,1,21
natalensis,Natal duiker,10000,,213,1,15.2
niger,Black duiker,18100,,128,1,14.8
nigrifrons,Black-fronted duiker,13900,,,,17.9
rufilatus,Red-flanked duiker,13000,270,230,1,15.2
silvicultor,Yellow-backed duiker,62000,,165,1,22.5
weynsi,Weyns's duiker,,,,,15.2
gnou,Black wildebeest,132250,,259,1,21.8
taurinus,Blue wildebeest,164500,912,253,1,24.3
lunatus,Topi,110000,,238,1,23.6
pygargus,Sassaby or blesbok,84500,,243,1.2,23
rufifrons,Red-fronted gazelle,15011,,175,1,14.5
thomsonii,Thomson's gazelle,25000,,170,1,20
cuvieri,Cuvier's gazelle,17500,180,171,1.5,17.9
dorcas,Dorcas gazelle,14500,589,182,1,23.7
gazella,Mountain gazelle,23250,,180,1,18.3
leptoceros,Rhim gazelle,48500,,176,1,14.6
subgutturosa,Goitered gazelle,48500,746,175,1.3,16.3
hylocrius,Nilgiri tahr,75000,,188,1.3,17.3
jemlahicus,Himalayan tahr,35200,730,183,1,21.8
equinus,Roan antelope,225000,814,284,1,25.9
niger,Sable antelope,225000,1184,271,1,22.2
ellipsiprymnus,Waterbuck,175333,,264,1,30
kob,Kob,105000,365,251,1,21.9
leche,Lechwe,94800,1050,229,1,25.4
megaceros,Nile lechwe,90000,730,235,1,21.1
walleri,Gerenuk,43500,,204,1,17.3
guentheri,Gunther's dik-dik,4550,,178,1,17.5
kirkii,Kirk's dik-dik,5000,304,172,1,17.3
baileyi,Red goral,28863,,213,1.5,19
caudatus,Chinese goral,27000,,,,20.3
goral,Goral,31750,500,215,1,17.6
dama,Dama gazelle,73000,,208,1,19.3
granti,Grant's gazelle,67000,,196,1,19.7
soemmerringii,Soemmering's gazelle,48500,,190,1,15.5
moschatus,Suni,6500,183,180,1,13.5
pygmaeus,Royal antelope,2250,,183,1,11.1
americanus,Mountain goat,90000,912,184,1.2,20.8
oreotragus,Klipspringer,12000,365,196,1,25.9
dammah,Scimitar-horned oryx,177500,,247,1,27.5
gazella,Gemsbok,170000,550,270,1,23.8
leucoryx,Arabian oryx,121350,,243,1,20.8
ourebi,Oribi,17000,426,193,1,15.9
moschatus,Muskox,315000,1278,258,1,27.4
ammon,Argali,160000,823,170,1,16.8
aries,Domestic sheep or mouflon,80000,914,146,1.58,22.8
canadensis,Bighorn sheep,70275,749,180,1,20.6
dalli,Dall's sheep,73100,639,173,1,19.6
maxwellii,Maxwell's duiker,7000,,120,1,18.3
monticola,Blue duiker,6250,685,193,1,15.9
gutturosa,Mongolian gazelle,30000,,185,1.3,12
nayaur,Bharal,55000,,160,1.5,20.9
campestris,Steenbok,13000,243,197,1,9.3
arundinum,Southern reedbuck,58000,,224,1,16.8
fulvorufula,Mountain reedbuck,30000,335,216,1,15
rupicapra,Chamois,37500,669,122,1,17.6
grimmia,Bush duiker,18500,255,165,1,15.4
caffer,African buffalo,700000,1674,331,1,32.8
derbianus,Giant eland,680000,,264,1,20.3
oryx,Eland,500000,571,274,1,26.1
quadricornis,Four-horned antelope,19000,,212,1.5,17.4
angasii,Nyala,120000,,224,1,18.5
eurycerus,Bongo,307500,914,288,1,21.9
imberbis,Lesser kudu,82500,504,235,1,19.8
scriptus,Bushbuck,60000,,188,1,15.3
spekii,Sitatunga,87500,,242,1,22.6
strepsiceros,Greater kudu,217500,,228,1,23.5
bactrianus,Bactrian camel,475000,1278,395,1,35.4
dromedarius,Dromedary,434000,2191,405,1,28.4
glama,Llama,140000,800,330,1,28.9
guanicoe,Guanaco,127500,730,335,1,33.7
pacos,Alpaca,62000,500,345,1.04,25.8
vicugna,Vicugna,50000,730,340,1,31.6
axis,Chital,36000,913,226,1.03,20.8
calamianensis,Calamian deer,40500,,224,2,17.2
kuhlii,Bawean deer,55000,,227,1.2,17.8
porcinus,Hog deer,43000,,232,1,22.9
capreolus,Western roe deer,21666.7,655,153,1.6,17.5
elaphus,Red deer,200000,730,245,1,31.5
nippon,Sika deer,42000,500,210,1,26.3
dama,Fallow deer,70000,507,233,1,21.1
cephalophus,Tufted deer,33500,730,180,1,22.7
davidianus,Pere David's deer,186500,1186,288,1,27.5
inermis,Chinese water deer,11500,,190,2.7,13.9
americana,Red brocket,33000,365,225,1.3,17.1
gouazoubira,Gray brocket,17000,365,212,1,14.8
muntjak,Indian muntjac,21000,332,210,1.17,18.8
reevesi,Reeves's muntjac,18000,,199,1,23.2
hemionus,Mule deer,57000,503,207,1.5,22
virginianus,White-tailed deer,87000,417,198,2,23
bezoarticus,Pampas deer,32500,,213,1,21.9
albirostre,Thorold's deer,135000,,253,1,21.3
puda,Southern pudu,10000,320,200,1,18.3
tarandus,Caribou and reindeer,101250,680,228,1,21.8
duvaucelii,Barasingha,170000,,250,1,24.5
eldii,Eld's deer,122500,,241,1,20.5
alfredi,Visayan spotted deer,46475,,243,,18.5
timorensis,Timor deer,63000,,251,1,21.1
unicolor,Sambar,185000,,232,1,26.4
camelopardalis,Giraffe,800000,1644,457,1,39.5
johnstoni,Okapi,225000,790,458,1,33.5
liberiensis,Pygmy hippopotamus,215000,1644,199,1,42.3
amphibius,Hippopotamus,3750000,1279,234,1,61.2
babyrussa,Babirusa,71500,548,153,1.3,22.9
africanus,Wart hog,100000,578,164,3,20.9
porcus,Red river hog,88000,1096,122,3,22
barbatus,Bearded pig,102750,,122,4,16.2
salvanius,Pygmy hog,8000,700,108,3,14
scrofa,Wild boar,130000,768,115,7,27
verrucosus,Javan pig,76000,,120,6,17
tajacu,Collared peccary,20200,358,145,2,31.5
pecari,White-lipped peccary,22000,548,158,2,28.5
meminna,Indian spotted chevrotain,2450,,150,1.5,14.5
javanicus,Lesser mouse-deer,2850,167,144,1,14
napu,Greater mouse-deer,6500,135,153,1,16.7
fulgens,Red panda,4325,550,116,2,19
microtis,Short-eared dog,9500,,,,11.9
adustus,Side-striped jackal,10250,274,64,4,13.7
aureus,Golden jackal,11000,334,63,3,18.8
familiaris,Domestic dog,40000,510,63,6,24
latrans,Coyote,13250,274,63,6,21.8
lupus,Gray wolf,26625,669,62,6,20.6
mesomelas,Black-backed jackal,10250,251,60,4,16.7
thous,Crab-eating fox,6500,274,55,4,12.7
brachyurus,Maned wolf,21500,,64,3,16.8
alpinus,Dhole,15750,365,61,5,16.1
culpaeus,Culpeo,13000,,61,4,13.1
griseus,Argentinian gray fox,3990,,56,4.2,10.9
gymnocercus,Pampas fox,8500,,57,4,13.7
sechurae,Sechuran fox,4000,,,,9.9
vetulus,Hoary fox,5350,,,3,12.6
pictus,African wild dog,26500,639,72,8,17
procyonoides,Raccoon dog,6500,304,61,6,16.6
megalotis,Bat-eared fox,4150,,68,4,17
venaticus,Bush dog,6000,365,68,4,14.1
cinereoargenteus,Gray fox,4750,365,57,4,16.2
corsac,Corsac fox,2700,,53,4.7,13
lagopus,Arctic fox,5200,304,52,9,16.3
macrotis,Kit fox,2500,,54,4,15.8
pallida,Pale fox,2800,,52,4,16
rueppellii,Ruppell's sand fox,3200,,,2,14.3
velox,Swift fox,2400,365,55,4.5,15.9
vulpes,Red fox,4131.7,304,52,5,21.3
zerda,Fennec,1250,274,51,2.2,16.3
ferox,Fossa,9500,,90,3,23.1
fossana,Malagasy civet,1540,,82,1,21.4
elegans,Ring-tailed mongoose,800,,72,1,26
jubatus,Cheetah,53500,456,88,3,20.5
caracal,Caracal,16000,456,74,3,20.3
temminckii,Asiatic golden cat,13500,,95,1,23
catus,Domestic cat,3900,,65,4,30
chaus,Jungle cat,10000,,60,3,20
manul,Pallas' cat,3500,,72,4.1,15.9
margarita,Sand cat,2750,,67,4.5,13.9
nigripes,Black-footed cat,2125,434,66,2,15.6
silvestris,Wild cat,5500,304,64,3.7,19
colocolo,Colocolo,2950,,,2.5,19.6
geoffroyi,Geoffroy's cat,4000,,75,2,23
pardalis,Ocelot,8800,600,77,2,28.2
tigrinus,Little spotted cat,2250,,75,1.5,21.9
wiedii,Margay,3666.7,,81,1.5,24
serval,Serval,13350,,70,2.5,22.4
canadensis,Canada lynx,10100,573,63,3.5,26.8
lynx,Eurasian lynx,23000,1004,66,2,23.7
rufus,Bobcat,8600,730,65,3,32.3
nebulosa,Clouded leopard,19500,1095,89,2,19.8
leo,Lion,175000,1095,109,3,27
onca,Jaguar,81150,730,99,2,28
pardus,Leopard,53750,771,97,2,27.3
tigris,Tiger,119700,1415,105,2.5,26.3
bengalensis,Leopard cat,5000,,62,2.5,17
planiceps,Flat-headed cat,6750,,56,,14
rubiginosus,Rusty-spotted cat,1350,,68,2.5,17.9
viverrinus,Fishing cat,10650,,72,2,17.2
aurata,African golden cat,10650,,81,2,21
concolor,Cougar,63000,912,92,2.5,23.8
yagouaroundi,Jaguarundi,7000,,73,2,18.6
uncia,Snow leopard,50000,730,96,2,21.2
paludinosus,Marsh mongoose,3300,255,76,2,20.8
nigripes,Black-footed mongoose,2000,,,1,15.8
obscurus,Long-nosed cusimanse,790,274,58,4,13.3
penicillata,Yellow mongoose,598.5,,56,2,15.2
pulverulenta,Cape gray mongoose,650,,61,2.6,11.7
sanguinea,Slender mongoose,500,365,65,2,12.6
parvula,Dwarf mongoose,274.8,,55,3,18
edwardsi,Indian gray mongoose,1000,,59,2.6,12.3
javanicus,Javan mongoose,800,122,49,2,16.6
smithii,Ruddy mongoose,1702.5,,,2.5,17.8
urva,Crab-eating mongoose,1863.2,,66,3,13.3
vitticollis,Striped-necked mongoose,2250,,,2.5,12.8
albicauda,White-tailed mongoose,3500,,,2.3,14.8
mungo,Banded mongoose,1331.5,,60,2.5,17.4
suricatta,Meerkat,776,365,77,4,20.6
crocuta,Spotted hyena,63000,639,110,2,41.1
brunnea,Brown hyena,42250,,92,2.5,31.9
hyaena,Striped hyena,40000,800,90,2.5,25
cristata,Aardwolf,10000,,84,2.5,20
chinga,Molina's hog-nosed skunk,3400,,,,10
leuconotus,Hog-nosed skunk,1900,319,56,3.4,10.2
mephitis,Striped skunk,3500,335,63,5,13.9
putorius,Eastern spotted skunk,600,152,31,5,10.5
capensis,African clawless otter,23500,365,63,2.5,14.2
cinereus,Oriental small-clawed otter,3000,,63,1.42,23
collaris,Hog badger,10500,,42,3,15.8
barbara,Tayra,4500,183,66,2,22.3
lutris,Sea otter,25850,1369,140,1,27
cuja,Lesser grison,1000,,,,10.2
vittata,Greater grison,2300,,40,2,12.5
gulo,Wolverine,16333.3,776,35,3,19.5
maculicollis,Spotted-necked otter,4000,,61,2,22.9
striatus,Striped polecat,910,393,36,2,14
canadensis,Northern river otter,9000,730,62,2.5,27
lutra,European otter,6750,548,61,2,18.2
americana,American marten,884,365,28,3,17.8
flavigula,Yellow-throated marten,2500,,150,2.5,16
foina,Beech marten,1700,730,30,3.5,18.2
martes,European pine marten,1300,426,28,4,18.2
pennanti,Fisher,3175,365,45,2.5,14.3
zibellina,Sable,1066.7,456,30,3,18.4
meles,Old World badger,13000,365,49,3,18.6
capensis,Honey badger,10000,,180,2,31.3
moschata,Chinese ferret-badger,672,,,2.5,19
erminea,Ermine,110.3,365,43,6.77,12.5
eversmanii,Steppe polecat,1350,319,36,9.4,9.1
frenata,Long-tailed weasel,150.6,365,25,6.2,8.8
